
    # |      % | total% | amount | word
 ---------------------------------------
  182 |  0.061 | 59.833 |   1204 | something 
  183 |  0.061 | 59.893 |   1201 | people 
  184 |  0.060 | 59.953 |   1197 | dear 
  185 |  0.060 | 60.013 |   1181 | give 
  186 |  0.060 | 60.072 |   1181 | yes 
  187 |  0.059 | 60.132 |   1180 | same 
  188 |  0.059 | 60.191 |   1179 | myself 
  189 |  0.058 | 60.250 |   1159 | place 
  190 |  0.058 | 60.308 |   1155 | done 
  191 |  0.057 | 60.365 |   1125 | better 
  192 |  0.057 | 60.421 |   1124 | left 
  193 |  0.057 | 60.478 |   1123 | mind 
  194 |  0.056 | 60.534 |   1120 | quite 
  195 |  0.055 | 60.590 |   1098 | thing 
  196 |  0.055 | 60.645 |   1097 | three 
  197 |  0.054 | 60.699 |   1077 | hands 
  198 |  0.054 | 60.753 |   1074 | both 
  199 |  0.054 | 60.807 |   1074 | asked 
  200 |  0.054 | 60.861 |   1070 | oh 
  201 |  0.054 | 60.915 |   1064 | heart 
  202 |  0.053 | 60.967 |   1042 | going 
  203 |  0.052 | 61.020 |   1040 | far 
  204 |  0.052 | 61.072 |   1036 | world 
  205 |  0.052 | 61.124 |   1035 | poor 
  206 |  0.052 | 61.176 |   1031 | home 
  207 |  0.052 | 61.228 |   1026 | till 
  208 |  0.051 | 61.279 |   1020 | seen 
  209 |  0.051 | 61.330 |   1017 | father 
  210 |  0.051 | 61.381 |   1014 | full 
  211 |  0.051 | 61.433 |   1013 | enough 
  212 |  0.051 | 61.483 |   1009 | round 
  213 |  0.050 | 61.533 |    988 | mother 
  214 |  0.050 | 61.583 |    986 | few 
  215 |  0.050 | 61.632 |    985 | herself 
  216 |  0.049 | 61.682 |    980 | sir 
  217 |  0.049 | 61.731 |    980 | nor 
  218 |  0.049 | 61.780 |    974 | whale 
  219 |  0.049 | 61.829 |    972 | says 
  220 |  0.049 | 61.878 |    968 | set 
  221 |  0.049 | 61.927 |    967 | side 
  222 |  0.048 | 61.975 |    962 | felt 
  223 |  0.048 | 62.023 |    957 | morning 
  224 |  0.048 | 62.072 |    954 | white 
